date	location	price	hotel	url
2025-06-25	東京	8018	パールホテル茅場町	https://www.tour.ne.jp/j_hotel/list/?city1=10299&coty1=1&dist1=3&refpage=form#dp_ymd=20250625&dsp_sort=2&hotel_rank=4,5
2025-06-26	東京	9002	ホテルトラスティ東京ベイサイド	https://www.tour.ne.jp/j_hotel/list/?city1=10299&coty1=1&dist1=3&refpage=form#dp_ymd=20250626&dsp_sort=2&hotel_rank=4,5
2025-06-27	東京	9000	ホテルトラスティ東京ベイサイド	https://www.tour.ne.jp/j_hotel/list/?city1=10299&coty1=1&dist1=3&refpage=form#dp_ymd=20250627&dsp_sort=2&hotel_rank=4,5
2025-06-28	東京	14080	パールホテル茅場町	https://www.tour.ne.jp/j_hotel/list/?city1=10299&coty1=1&dist1=3&refpage=form#dp_ymd=20250628&dsp_sort=2&hotel_rank=4,5
2025-06-29	東京	7164	パールホテル茅場町	https://www.tour.ne.jp/j_hotel/list/?city1=10299&coty1=1&dist1=3&refpage=form#dp_ymd=20250629&dsp_sort=2&hotel_rank=4,5
2025-06-30	東京	7122	レジデンスコンドミニアム　カラハーイ	https://www.tour.ne.jp/j_hotel/list/?city1=10299&coty1=1&dist1=3&refpage=form#dp_ymd=20250630&dsp_sort=2&hotel_rank=4,5
2025-07-01	東京	6528	レジデンスコンドミニアム　カラハーイ	https://www.tour.ne.jp/j_hotel/list/?city1=10299&coty1=1&dist1=3&refpage=form#dp_ymd=20250701&dsp_sort=2&hotel_rank=4,5
2025-07-02	東京	6528	レジデンスコンドミニアム　カラハーイ	https://www.tour.ne.jp/j_hotel/list/?city1=10299&coty1=1&dist1=3&refpage=form#dp_ymd=20250702&dsp_sort=2&hotel_rank=4,5
2025-07-03	東京	6528	レジデンスコンドミニアム　カラハーイ	https://www.tour.ne.jp/j_hotel/list/?city1=10299&coty1=1&dist1=3&refpage=form#dp_ymd=20250703&dsp_sort=2&hotel_rank=4,5
2025-07-04	東京	8752	パールホテル茅場町	https://www.tour.ne.jp/j_hotel/list/?city1=10299&coty1=1&dist1=3&refpage=form#dp_ymd=20250704&dsp_sort=2&hotel_rank=4,5
2025-07-05	東京	14960	パールホテル茅場町	https://www.tour.ne.jp/j_hotel/list/?city1=10299&coty1=1&dist1=3&refpage=form#dp_ymd=20250705&dsp_sort=2&hotel_rank=4,5
2025-07-06	東京	7028	パールホテル茅場町	https://www.tour.ne.jp/j_hotel/list/?city1=10299&coty1=1&dist1=3&refpage=form#dp_ymd=20250706&dsp_sort=2&hotel_rank=4,5
2025-07-07	東京	7500	ベッセルイン浅草　つくばエクスプレス（上野・浅草・雷門・スカイツリー）	https://www.tour.ne.jp/j_hotel/list/?city1=10299&coty1=1&dist1=3&refpage=form#dp_ymd=20250707&dsp_sort=2&hotel_rank=4,5
2025-07-08	東京	7982	パールホテル茅場町	https://www.tour.ne.jp/j_hotel/list/?city1=10299&coty1=1&dist1=3&refpage=form#dp_ymd=20250708&dsp_sort=2&hotel_rank=4,5
2025-07-09	東京	8800	パールホテル茅場町	https://www.tour.ne.jp/j_hotel/list/?city1=10299&coty1=1&dist1=3&refpage=form#dp_ymd=20250709&dsp_sort=2&hotel_rank=4,5
